Minutes5DK,Minutes5UTC,CO2Emission,PriceArea
2019-12-16T03:45:00,2019-12-16T02:45:00+00:00,142,DK1
2019-12-16T03:50:00,2019-12-16T02:50:00+00:00,139,DK1
2019-12-16T03:55:00,2019-12-16T02:55:00+00:00,137,DK1
2019-12-16T04:00:00,2019-12-16T03:00:00+00:00,137,DK1
2019-12-16T04:05:00,2019-12-16T03:05:00+00:00,138,DK1
2019-12-16T04:10:00,2019-12-16T03:10:00+00:00,136,DK1
2019-12-16T04:15:00,2019-12-16T03:15:00+00:00,137,DK1
2019-12-16T04:20:00,2019-12-16T03:20:00+00:00,139,DK1
2019-12-16T04:25:00,2019-12-16T03:25:00+00:00,140,DK1
2019-12-16T04:30:00,2019-12-16T03:30:00+00:00,139,DK1
2019-12-16T04:35:00,2019-12-16T03:35:00+00:00,139,DK1
2019-12-16T04:40:00,2019-12-16T03:40:00+00:00,143,DK1
2019-12-16T04:45:00,2019-12-16T03:45:00+00:00,146,DK1
2019-12-16T04:50:00,2019-12-16T03:50:00+00:00,140,DK1
2019-12-16T04:55:00,2019-12-16T03:55:00+00:00,135,DK1
2019-12-16T05:00:00,2019-12-16T04:00:00+00:00,129,DK1
2019-12-16T05:05:00,2019-12-16T04:05:00+00:00,128,DK1
2019-12-16T05:10:00,2019-12-16T04:10:00+00:00,128,DK1
2019-12-16T05:15:00,2019-12-16T04:15:00+00:00,130,DK1
2019-12-16T05:20:00,2019-12-16T04:20:00+00:00,130,DK1
2019-12-16T05:25:00,2019-12-16T04:25:00+00:00,125,DK1
2019-12-16T05:30:00,2019-12-16T04:30:00+00:00,126,DK1
2019-12-16T05:35:00,2019-12-16T04:35:00+00:00,124,DK1
2019-12-16T05:40:00,2019-12-16T04:40:00+00:00,121,DK1
2019-12-16T05:45:00,2019-12-16T04:45:00+00:00,127,DK1
2019-12-16T05:50:00,2019-12-16T04:50:00+00:00,130,DK1
2019-12-16T05:55:00,2019-12-16T04:55:00+00:00,144,DK1
2019-12-16T06:00:00,2019-12-16T05:00:00+00:00,153,DK1
2019-12-16T06:05:00,2019-12-16T05:05:00+00:00,151,DK1
2019-12-16T06:10:00,2019-12-16T05:10:00+00:00,147,DK1
2019-12-16T06:15:00,2019-12-16T05:15:00+00:00,151,DK1
2019-12-16T06:20:00,2019-12-16T05:20:00+00:00,155,DK1
2019-12-16T06:25:00,2019-12-16T05:25:00+00:00,152,DK1
2019-12-16T06:30:00,2019-12-16T05:30:00+00:00,148,DK1
2019-12-16T06:35:00,2019-12-16T05:35:00+00:00,147,DK1
2019-12-16T06:40:00,2019-12-16T05:40:00+00:00,147,DK1
2019-12-16T06:45:00,2019-12-16T05:45:00+00:00,143,DK1
2019-12-16T06:50:00,2019-12-16T05:50:00+00:00,142,DK1
2019-12-16T06:55:00,2019-12-16T05:55:00+00:00,152,DK1
